Ville; Prix; Surface; NbrChambre; NbrPiece; Date; MatchCriteria; WebSite; ToCheck; UrlDetail
FONTENAY SOUS BOIS; 370000; 104; 0; 5; 20/05/2017 23:12:14; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2253&mt=02275&menu=2
MONTREUIL; 380000; 59; 0; 3; 20/05/2017 23:12:14; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2176&mt=02190&menu=2
FONTENAY SOUS BOIS; 382000; 90; 0; 4; 20/05/2017 23:12:14; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2267&mt=ref2032&menu=2
FONTENAY SOUS BOIS; 385000; 90; 0; 4; 20/05/2017 23:12:14; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2306&mt=235&menu=2
; 390000; 350; 0; 0; 20/05/2017 23:12:15; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2279&mt=PIPICC&menu=2
FONTENAY SOUS BOIS; 397000; 80; 0; 4; 20/05/2017 23:12:15; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2287&mt=000032&menu=2
FONTENAY SOUS BOIS; 399000; 76; 0; 3; 20/05/2017 23:12:15; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2211&mt=02232&menu=2
FONTENAY SOUS BOIS; 399000; 100; 0; 5; 20/05/2017 23:12:15; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2257&mt=889&menu=2
FONTENAY SOUS BOIS; 405000; 90; 0; 4; 20/05/2017 23:12:15; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2225&mt=2243&menu=2
FONTENAY SOUS BOIS; 407000; 100; 0; 4; 20/05/2017 23:12:15; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2116&mt=02104&menu=2
FONTENAY SOUS BOIS; 412000; 90; 0; 4; 20/05/2017 23:12:15; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2151&mt=02165&menu=2
